post_id	reply_id	sarcasm
xttc8	c5po9p2	1
xttc8	c5pt43a	0
xtol1	c5pn43g	1
xtol1	c5phtct	0
xtojz	c5pl530	0
xtojz	c5pjnas	1
xtngb	c5pkv3k	0
xtngb	c5pipmx	1
xtfev	c5pr5u3	1
xtfev	c5pjeaf	0
xstu4	c5pp09p	0
xstu4	c5pbje5	1
xsq8w	c5pedu2	0
xsq8w	c5pgjew	1
xsoeu	c5pacg2	0
xsoeu	c5pg2jh	1
xwnss	c5qgxjt	0
xwnss	c5qbm1x	1
xw2n4	c5q66bq	1
xw2n4	c5q2unj	0
xw17e	c5q6d6h	1
xw17e	c5qafnn	0
xvjfp	c5q126n	1
xvjfp	c5qijy2	0
xvhop	c5pyaa7	0
xvhop	c5q3pg8	1
xveq8	c5px0rw	1
xveq8	c5pwou5	0
xvcba	c5q1cso	1
xvcba	c5pws1v	0
xv9gb	c5pvug3	1
xv9gb	c5pwki7	0
xuv6h	c5pxoqs	1
xuv6h	c5pzi2a	0
xy7k1	c5qx7qj	0
xy7k1	c5qx44i	1
xxwr6	c5qlyuh	0
xxwr6	c5qlhrf	1
xxobe	c5qlmrr	1
xxobe	c5qw3b3	0
xxjqc	c5qkut0	1
xxjqc	c5qj3im	0
xzx4b	c5r2w94	0
xzx4b	c5rfjmv	1
xzqnv	c5r2mfn	0
xzqnv	c5r1hy0	1
xzddw	c5r3s2s	1
xzddw	c5r80xb	0
xz3r2	c5r0zy3	1
xz3r2	c5qxrrc	0
y22tl	c5rrm54	0
y22tl	c5rrowp	1
y1x27	c5rlgdg	1
y1x27	c5rq16b	0
y1o5a	c5rseaj	0
y1o5a	c5rij4m	1
y1lmk	c5rke1s	0
y1lmk	c5ri2r6	1
y1b5c	c5rm2ke	1
y1b5c	c5rfa75	0
y1aj1	c5rlfi0	0
y1aj1	c5rip5y	1
y11eo	c5rol8p	0
y11eo	c5ri2e1	1
y43h6	c5samsv	1
y43h6	c5sd3s9	0
y43fd	c5scskr	1
y43fd	c5sk9a7	0
y3xwm	c5s92n6	1
y3xwm	c5sfo11	0
y3wan	c5s3zse	0
y3wan	c5s5d36	1
y3ptu	c5s68gl	1
y3ptu	c5s54wg	0
y3ppb	c5s55q2	0
y3ppb	c5s723z	1
y3njg	c5s1fmj	1
y3njg	c5s9sf3	0
y3n7u	c5s5vd8	0
y3n7u	c5s681d	1
y3dks	c5s070e	0
y3dks	c5rz0mq	1
y39g4	c5s4r58	1
y39g4	c5rxee8	0
y65d7	c5ssiwe	0
y65d7	c5spd4a	1
y5a0r	c5sm7q5	0
y5a0r	c5sl7ot	1
y58p4	c5shwsa	1
y58p4	c5sjvas	0
y57gq	c5sl9ms	1
y57gq	c5sh8ff	0
y5641	c5slhg3	1
y5641	c5sgxin	0
y52t7	c5se7nw	1
y52t7	c5smgkn	0
y4ypv	c5si1lk	0
y4ypv	c5sfno9	1
y4plg	c5se1hy	0
y4plg	c5sm1h3	1
y4f8p	c5sbp0n	1
y4f8p	c5tasmy	0
y87p5	c5t7bt2	1
y87p5	c5tqf79	0
y87lx	c5tavia	1
y87lx	c5tb22o	0
y860s	c5tgvnh	1
y860s	c5tdjxf	0
y85zu	c5tar5j	0
y85zu	c5t6y3v	1
y7t72	c5ta54n	1
y7t72	c5t5ieh	0
y7mum	c5tbxxo	0
y7mum	c5t2she	1
y7mhv	c5t3ulf	1
y7mhv	c5t27gc	0
y7fkl	c5tapnu	0
y7fkl	c5t0ilx	1
y7fin	c5t0lk0	1
y7fin	c6emnt9	0
y7cca	c5t4vgi	1
y7cca	c5t1isz	0
y770n	c5tex52	0
y770n	c5tes0h	1
y6uq2	c5t1r1j	0
y6uq2	c5t0z9y	1
y6ujh	c5sv2xp	1
y6ujh	c5svtt6	0
y6ql9	c5t518h	0
y6ql9	c5t1dfu	1
y6miz	c5tcdcx	0
y6miz	c5st0i8	1
y6f1p	c5st7qi	0
y6f1p	c5stiw2	1
y6d63	c5syd8e	0
y6d63	c5ssw0r	1
y6am7	c5sqlgv	0
y6am7	c5sru1n	1
yahkc	c5u0bpj	0
yahkc	c5uda0o	1
yae7e	c5u2m60	1
yae7e	c5tsz3h	0
ya6do	c5ty5ek	0
ya6do	c5tw3fq	1
ya4sl	c5u6pzo	0
ya4sl	c5tuevf	1
y9s22	c5tyer2	1
y9s22	c5tshqf	0
y9krt	c5tkttu	1
y9krt	c5tmg7t	0
y9ge4	c5tiry0	1
y9ge4	c5tjndc	0
y9db0	c5tkx2m	0
y9db0	c5toy64	1
y97h2	c5thmu8	1
y97h2	c5tgkpz	0
y8xel	c5tiua4	0
y8xel	c5tey0t	1
ycdq2	c5ufncs	1
ycdq2	c5ueysx	0
ybwq7	c5u7s2x	0
ybwq7	c5uo8tw	1
ybg3x	c5u4x7r	1
ybg3x	c5u60d9	0
yb9y5	c5u2kve	0
yb9y5	c5u85f2	1
yb85q	c5tzb4c	1
yb85q	c5tzpx4	0
yaxet	c5tza70	0
yaxet	c5ty73p	1
yaj9e	c5tvnu8	1
yaj9e	c5tsn6l	0
yaiv3	c5txi80	0
yaiv3	c5u09kj	1
yebx5	c5urojd	0
yebx5	c5us9an	1
ye9q5	c5uthul	0
ye9q5	c5uvpb4	1
ye22i	c5urwzu	1
ye22i	c5uq205	0
ye1ug	c5up8vv	0
ye1ug	c5upoib	1
ydumu	c5ut4r9	1
ydumu	c5uqcsr	0
ydkuv	c5ulxxs	1
ydkuv	c5utk63	0
ydbdk	c5urs3b	1
ydbdk	c5ukxsd	0
yd3cn	c5uk7xo	0
yd3cn	c5ugpij	1
ycq4w	c5uiydw	0
ycq4w	c5ug6ai	1
ycltp	c5vaal9	0
ycltp	c5ue147	1
yg3ps	c5ve3q0	0
yg3ps	c5varhq	1
yg256	c5ve7q7	0
yg256	c5vez7g	1
yg0kb	c5ven1b	1
yg0kb	c5vft32	0
yfzzc	c5v9cyc	1
yfzzc	c5vef23	0
yfwdo	c5vddfu	0
yfwdo	c5vd37g	1
yfo64	c5v5qon	0
yfo64	c5vbyik	1
yfn3y	c5vapjw	1
yfn3y	c5vanrc	0
yfk5u	c5v6e52	0
yfk5u	c5v4r4v	1
yfdew	c5v1hvy	1
yfdew	c5v5jzy	0
yfa14	c5v0dov	1
yfa14	c5v0dtq	0
yetty	c5uzks3	1
yetty	c5uzjtf	0
yh7ql	c5vqp2b	1
yh7ql	c5vskug	0
yh4bo	c5w7j0j	1
yh4bo	c5voyzn	0
ygzgm	c5vlivv	1
ygzgm	c5vnxrx	0
ygzdx	c5vhtvd	0
ygzdx	c5vmhjy	1
ygheh	c5w2tiq	0
ygheh	c5vev89	1
yjpfx	c5w6x95	0
yjpfx	c5w95cx	1
yjjkr	c5w5mta	1
yjjkr	c5w5ils	0
yjfqf	c5w4dju	1
yjfqf	c5w4rex	0
yj7zk	c5w7mt9	0
yj7zk	c5w6zpt	1
yinza	c5w4h9d	1
yinza	c5w4vry	0
yim7q	c5vwbtp	0
yim7q	c5vxzg3	1
yim4f	c5w7o0b	1
yim4f	c5wc1ra	0
yilh6	c5wex3e	1
yilh6	c5vw2li	0
yigwf	c5vydu2	1
yigwf	c5vv8za	0
ylpqe	c5wr09z	0
ylpqe	c5wprpr	1
ylpl0	c5wugjb	0
ylpl0	c5wpjxl	1
ylhhj	c5wnbj3	0
ylhhj	c5wncwp	1
yleyg	c5wtapy	0
yleyg	c5wnx7z	1
yl8tj	c5wkvme	0
yl8tj	c5wnlfe	1
yl76i	c5wviwg	0
yl76i	c5wsxk8	1
yl5gm	c5ww402	0
yl5gm	c5wrxok	1
yl22b	c5wjug0	1
yl22b	c5wlm9c	0
ykxj6	c5wnin7	0
ykxj6	c5wl6e2	1
ykroh	c5wij6y	1
ykroh	c5wgfqe	0
ykrak	c5wiz9j	1
ykrak	c5whtmf	0
yk389	c5we5cm	0
yk389	c5wec2k	1
yk1hw	c5wcjnd	0
yk1hw	c5w9wbl	1
yk197	c5wep5x	1
yk197	c5wd6ec	0
yjw69	c5w8kfn	1
yjw69	c5w8hpn	0
ynfri	c5x901r	0
ynfri	c5x5er0	1
ynbw5	c5x4u6u	0
ynbw5	c5xktwq	1
ynae5	c5xg9af	0
ynae5	c5xdrm6	1
ymyyd	c5x0qao	1
ymyyd	c5x3spx	0
ymy5w	c5x4z04	0
ymy5w	c5xb9db	1
ymuqt	c5x11l9	1
ymuqt	c5x4hxb	0
ym77b	c5wxa9r	1
ym77b	c5wxe23	0
ym3ps	c5wtzcq	1
ym3ps	c5wyiak	0
ym2sk	c5wxxia	0
ym2sk	c5x0p4w	1
yq1i6	c5xzlk8	0
yq1i6	c5y0e61	1
ypj6r	c5y2m6a	0
ypj6r	c5xvz59	1
yp9ir	c5xqvim	0
yp9ir	c5xsz5p	1
yp1zs	c5xktvb	1
yp1zs	c5xm3ke	0
yp15m	c5ydwj5	1
yp15m	c5xv42t	0
yp11u	c5xk17m	1
yp11u	c5xjycp	0
yox2i	c5xji1d	0
yox2i	c5xkiw0	1
yowq4	c5xngye	1
yowq4	c5xpc0z	0
yot6j	c5xippw	1
yot6j	c5xnaip	0
yo5f4	c5xoccg	1
yo5f4	c5xkiyy	0
ys5nv	c5yeeum	1
ys5nv	c5ygy3b	0
ys4vo	c5yccmj	1
ys4vo	c5yd1u0	0
yrack	c5ycrhb	0
yrack	c5y7wq0	1
yr94v	c5y7a43	0
yr94v	c5y6avq	1
yr8qo	c5y44vf	0
yr8qo	c5y4075	1
yr761	c5yczes	1
yr761	c5yejlr	0
yr49p	c5y2410	0
yr49p	c5y34fn	1
yr47x	c5y5n1b	0
yr47x	c5y6zvi	1
yr3cw	c5y29om	1
yr3cw	c5y4ctu	0
yr2m4	c5y5s8y	1
yr2m4	c5y42sy	0
yqzro	c5y2apm	0
yqzro	c5y24vn	1
yquvn	c5y06jy	1
yquvn	c5y0erv	0
yqo17	c5xzd45	0
yqo17	c5y070u	1
yqno0	c5xxzjr	0
yqno0	c5xybz6	1
yqhc7	c5xwmm7	1
yqhc7	c5xxcph	0
ytm8c	c5yrrjh	1
ytm8c	c5ysx4h	0
ytjcf	c5ytdkn	0
ytjcf	c5z00xe	1
ythwx	c5ywba8	1
ythwx	c5yu9e4	0
yt2qp	c5yless	1
yt2qp	c5ynhxl	0
yszx2	c5yjrwg	1
yszx2	c5yjrjf	0
yswrf	c5youco	0
yswrf	c5ypmw8	1
yswcq	c5ymoz8	0
yswcq	c5ym4j7	1
yv59l	c5z7ve4	0
yv59l	c5z9p2m	1
yuz5o	c5z4cdb	0
yuz5o	c5z24r4	1
yuter	c5z0kmi	0
yuter	c5zacft	1
yupre	c5yzg8x	0
yupre	c5z0ltx	1
yu8yd	c5yxa1w	0
yu8yd	c5yxzyo	1
yu4rq	c5yto64	1
yu4rq	c5ytl1o	0
yxaca	c5zoybz	0
yxaca	c5zmvvq	1
yws54	c5zmncf	1
yws54	c5zt3r2	0
ywrt1	c602p22	1
ywrt1	c5zn1m2	0
ywmw5	c5zmw4y	0
ywmw5	c5zm1dw	1
ywenr	c5zl4uf	0
ywenr	c5zilro	1
ywe5o	c5zivtz	1
ywe5o	c5zen8h	0
yw1u2	c5zctcw	1
yw1u2	c5zbxyl	0
yvxg9	c5zhc8n	0
yvxg9	c5zexcz	1
yvspe	c5zfoyf	1
yvspe	c5z90l5	0
yvs2a	c5z917h	0
yvs2a	c5z9183	1
yzhyv	c60ey64	1
yzhyv	c60hata	0
yz6ci	c608zfm	1
yz6ci	c605doy	0
yz4uh	c60fktp	0
yz4uh	c606hqw	1
yz11a	c606zbs	0
yz11a	c604k8k	1
yz08n	c608wxc	1
yz08n	c608ovk	0
yyl6x	c600wjq	1
yyl6x	c600kw0	0
yyhkd	c600gad	0
yyhkd	c600gm8	1
yyfvh	c5zz3vx	1
yyfvh	c600be6	0
yyd5s	c5zvzzy	1
yyd5s	c5zzey3	0
yy22z	c5ztj99	0
yy22z	c5zys24	1
yy206	c607drv	0
yy206	c5zt4jj	1
yxobt	c603c8s	0
yxobt	c5zyf20	1
z1kph	c60uzwk	1
z1kph	c60svua	0
z17xm	c60msgr	0
z17xm	c60mu5h	1
z17v1	c60pstc	0
z17v1	c60qzx5	1
z0xup	c60k2d2	0
z0xup	c60l35z	1
z0tg0	c60je99	0
z0tg0	c60ht6m	1
z0rk6	c60mmvc	1
z0rk6	c60qhhg	0
z0r5m	c60r3s8	1
z0r5m	c60u7i3	0
z0mzg	c60g64g	0
z0mzg	c60t31d	1
z0jqv	c60hmg5	1
z0jqv	c60iina	0
z08na	c60hwkl	0
z08na	c60qnk4	1
z06h3	c60e3wy	0
z06h3	c60lodi	1
yzw67	c60hp8j	1
yzw67	c60e4ci	0
z3o0v	c61a5nw	0
z3o0v	c61dd47	1
z31s9	c615u4x	0
z31s9	c610cjt	1
z3134	c6119r1	1
z3134	c610bqi	0
z2zi2	c616svm	0
z2zi2	c610ew7	1
z2ykq	c61242j	0
z2ykq	c60zjqa	1
z2gcw	c611rgl	1
z2gcw	c612724	0
z2doi	c60yub1	1
z2doi	c60wkmf	0
z2dmv	c60wgmi	0
z2dmv	c60wehc	1
z2bql	c60uvhw	1
z2bql	c60umen	0
z5ne7	c61u4v8	1
z5ne7	c61rlxf	0
z5lwm	c61o0xv	1
z5lwm	c61v8xq	0
z5cnf	c61qakw	0
z5cnf	c61qeje	1
z598h	c61llei	1
z598h	c61qidq	0
z532f	c61ku49	0
z532f	c61m85h	1
z4tty	c61gcg8	0
z4tty	c61fvzo	1
z4pc9	c61g9bv	1
z4pc9	c61kumx	0
z4g8o	c61ec0b	1
z4g8o	c61h05h	0
z3y1b	c61palv	1
z3y1b	c61fjz4	0
1njg65	ccj5xq9	0
1njg65	ccj5tjo	1
1njekz	ccjcogu	0
1njekz	ccj72xs	1
1nje11	ccj496x	0
1nje11	ccj40lu	1
1nimij	cciyuzf	0
1nimij	cciyr6m	1
1nijla	ccj27ff	0
1nijla	cciz5cc	1
1nig11	ccivujv	0
1nig11	ccj03te	1
1nievm	ccj6jvd	0
1nievm	ccj2l3w	1
1niakm	ccjd22r	0
1niakm	ccixtxc	1
1ni8zf	ccivr2v	0
1ni8zf	cciv0a2	1
1ni80l	ccjef91	0
1ni80l	ccivuhc	1
1nhlv9	ccir9ah	1
1nhlv9	cciqtx1	0
1nhjsn	cciszro	0
1nhjsn	cciq2vq	1
1nhctm	cciq3c6	0
1nhctm	ccitftr	1
1nhcar	cciolwj	0
1nhcar	ccitf3c	1
1nh9oa	ccimdk1	0
1nh9oa	ccilp8y	1
1nm8nr	cck5fuk	1
1nm8nr	cck2fpg	0
1nlkua	ccjvg21	1
1nlkua	ccjpbsc	0
1nlbhp	cck4zcn	1
1nlbhp	ccjspkk	0
1nl93h	ccjlh08	0
1nl93h	ccjsvhc	1
1nl919	ccjrler	0
1nl919	ccjo5aw	1
1nl766	ccjxydj	1
1nl766	ccjkxg1	0
1nl3up	ccju3ee	1
1nl3up	ccjvk54	0
1nl1jl	ccjni0n	1
1nl1jl	ccjmdpk	0
1nl0ad	ccjj7ac	1
1nl0ad	ccjmvqg	0
1nkzxt	ccjvwdi	1
1nkzxt	ccjsm7j	0
1nksjy	ccjj307	1
1nksjy	ccjjl13	0
1nkcge	ccjhjlg	0
1nkcge	ccjyivo	1
1njzwi	ccj9oyr	0
1njzwi	ccj9mvs	1
1njsjg	ccjgndq	0
1njsjg	ccje21w	1
1nosdj	cckkcpf	1
1nosdj	cckl2qo	0
1nol85	cckubrt	0
1nol85	ccks47e	1
1nod5o	ccl245t	0
